metric,plugin
Gpu2_sm_app_clock,ganglia_pub
Gpu2_sm_clock,ganglia_pub
Gpu2_sm_max_clock,ganglia_pub
Gpu2_sm_occupancy,ganglia_pub
Gpu2_sync_boost_violation,ganglia_pub
Gpu2_tensor_active,ganglia_pub
Gpu2_thermal_violation,ganglia_pub
Gpu2_total_energy_consumption,ganglia_pub
Gpu2_video_clock,ganglia_pub
Gpu2_video_max_clock,ganglia_pub
Gpu2_virtualization_mode,ganglia_pub
Gpu2_xid_errors,ganglia_pub
Gpu3_app_clock_violation,ganglia_pub
Gpu3_bar1_free,ganglia_pub
Gpu3_bar1_total,ganglia_pub
Gpu3_bar1_used,ganglia_pub
Gpu3_base_clock_violation,ganglia_pub
Gpu3_board_limit_violation,ganglia_pub
Gpu3_compute_mode,ganglia_pub
Gpu3_cpu_affinity_0,ganglia_pub
Gpu3_cpu_affinity_1,ganglia_pub
Gpu3_cpu_affinity_2,ganglia_pub
Gpu3_cpu_affinity_3,ganglia_pub
Gpu3_current_clock_throttle_reasons,ganglia_pub
Gpu3_dec_utilization,ganglia_pub
Gpu3_device_count,ganglia_pub
Gpu3_dram_active,ganglia_pub
Gpu3_ecc,ganglia_pub
Gpu3_ecc_dbe_aggregate_device,ganglia_pub
Gpu3_ecc_dbe_aggregate_l1,ganglia_pub
Gpu3_ecc_dbe_aggregate_l2,ganglia_pub
Gpu3_ecc_dbe_aggregate_register,ganglia_pub
Gpu3_ecc_dbe_aggregate_total,ganglia_pub
Gpu3_ecc_dbe_volatile_device,ganglia_pub
Gpu3_ecc_dbe_volatile_l1,ganglia_pub
Gpu3_ecc_dbe_volatile_l2,ganglia_pub
Gpu3_ecc_dbe_volatile_register,ganglia_pub
Gpu3_ecc_dbe_volatile_total,ganglia_pub
Gpu3_ecc_pending,ganglia_pub
Gpu3_ecc_sbe_aggregate_device,ganglia_pub
Gpu3_ecc_sbe_aggregate_l1,ganglia_pub
Gpu3_ecc_sbe_aggregate_l2,ganglia_pub
Gpu3_ecc_sbe_aggregate_register,ganglia_pub
Gpu3_ecc_sbe_aggregate_total,ganglia_pub
Gpu3_ecc_sbe_volatile_device,ganglia_pub
Gpu3_ecc_sbe_volatile_l1,ganglia_pub
Gpu3_ecc_sbe_volatile_l2,ganglia_pub
Gpu3_ecc_sbe_volatile_register,ganglia_pub
Gpu3_ecc_sbe_volatile_total,ganglia_pub
Gpu3_enc_utilization,ganglia_pub
Gpu3_enforced_power_limit,ganglia_pub
Gpu3_fb_free,ganglia_pub
Gpu3_fb_total,ganglia_pub
Gpu3_fb_used,ganglia_pub
