episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
nan,nan,nan,nan,0,0,2,0,0,44000,0,44000,0,4000,0,650.8809475047241,0.0,44000,0,44000,False,0,11,0bf95_00000,2023-12-14_19-31-11,1702600271,6.146775722503662,71.97809958457947,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,71.97809958457947,11,44000,0,44000,0,nan,nan,nan,nan,0,0,[],[],6125.443,2788.098,1.564,44000,0,44000,0,25.911111111111108,82.63333333333333,[],[],128.0,4000.0,0.29943152638608966,0.29943152638608966,-0.022819386836864165,10.0,60323.251245169246,-0.00010765069074976419,8.054126115241793,0.012847235393448562,0.003,0.003,0.0,17.29951286315918
nan,nan,nan,nan,0,0,2,0,0,48000,0,48000,0,4000,0,642.7707079784722,0.0,48000,0,48000,False,0,12,0bf95_00000,2023-12-14_19-31-17,1702600277,6.224440097808838,78.2025396823883,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,78.2025396823883,12,48000,0,48000,0,nan,nan,nan,nan,0,0,[],[],6123.722,2789.883,1.561,48000,0,48000,0,27.11111111111111,82.62222222222222,[],[],128.0,4000.0,0.5870515930849606,0.5870515930849606,-0.006546785662780756,10.0,61088.303613073025,7.2580410727559885e-06,8.006356464011837,0.028532501522152285,0.003,0.003,0.0,25.949268341064453
nan,nan,nan,nan,0,0,2,0,0,52000,0,52000,0,4000,0,632.8517141188694,0.0,52000,0,52000,False,0,13,0bf95_00000,2023-12-14_19-31-23,1702600283,6.321744918823242,84.52428460121155,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,84.52428460121155,13,52000,0,52000,0,nan,nan,nan,nan,0,0,[],[],6144.246,2789.388,1.563,52000,0,52000,0,36.544444444444444,82.47777777777777,[],[],128.0,4000.0,0.2788291844064747,0.2788291844064747,-0.02516054199250943,10.0,36412.08852674407,9.501603112291934e-06,7.963760704882364,0.00786109757799709,0.003,0.003,0.0,25.949268341064453
nan,nan,nan,nan,0,0,2,0,0,56000,0,56000,0,4000,0,615.3733295050125,0.0,56000,0,56000,False,0,14,0bf95_00000,2023-12-14_19-31-30,1702600290,6.502237796783447,91.026522397995,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,91.026522397995,14,56000,0,56000,0,nan,nan,nan,nan,0,0,[],[],6178.939,2807.299,1.635,56000,0,56000,0,32.53333333333333,82.68888888888888,[],[],128.0,4000.0,0.37061799012585234,0.37061799012585234,-0.02404061161743195,10.0,31090.793140533384,8.846040981919018e-05,7.942697927641716,0.011355179811677262,0.003,0.003,0.0,25.949268341064453
nan,nan,nan,nan,0,0,2,0,0,60000,0,60000,0,4000,0,648.2013503756926,0.0,60000,0,60000,False,0,15,0bf95_00000,2023-12-14_19-31-36,1702600296,6.172017335891724,97.19853973388672,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,97.19853973388672,15,60000,0,60000,0,nan,nan,nan,nan,0,0,[],[],6188.88,2815.333,1.64,60000,0,60000,0,32.74444444444445,83.36666666666667,[],[],128.0,4000.0,0.2529878102814846,0.2529878102814846,-0.020695528366726074,10.0,20183.48102990905,2.4612969172788834e-05,7.887603090770209,0.006693188462504661,0.003,0.003,0.0,25.949268341064453
nan,nan,nan,nan,0,0,2,0,0,64000,0,64000,0,4000,0,654.8843135230484,0.0,64000,0,64000,False,0,16,0bf95_00000,2023-12-14_19-31-42,1702600302,6.109047174453735,103.30758690834045,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,103.30758690834045,16,64000,0,64000,0,nan,nan,nan,nan,0,0,[],[],6199.057,2829.839,1.658,64000,0,64000,0,33.44444444444444,83.22222222222223,[],[],128.0,4000.0,0.2658893636215343,0.2658893636215343,-0.014546874410677344,9.999910852802333,20325.356849263728,5.754275616806453e-05,7.842183503006567,0.006953457425916451,0.003,0.003,0.0,25.949268341064453
nan,nan,nan,nan,0,0,2,0,0,68000,0,68000,0,4000,0,644.4395192251922,0.0,68000,0,68000,False,0,17,0bf95_00000,2023-12-14_19-31-48,1702600308,6.208630084991455,109.51621699333191,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,109.51621699333191,17,68000,0,68000,0,nan,nan,nan,nan,0,0,[],[],6213.005,2833.434,1.67,68000,0,68000,0,33.37777777777777,82.94444444444444,[],[],128.0,4000.0,0.4765491964164446,0.4765491964164446,-0.01444454965437812,9.997477673772556,19807.496483125666,-3.191136093790343e-06,7.851025667271888,0.015068593346173125,0.003,0.003,0.0,25.949268341064453
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,2,0,2,0,0,72000,0,72000,0,4000,0,465.57660741466367,0.0,72000,0,72000,False,2,18,0bf95_00000,2023-12-14_19-31-57,1702600317,8.593111038208008,118.10932803153992,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,118.10932803153992,18,72000,0,72000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,2,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6458.733,3073.201,1.654,72000,0,72000,0,30.958333333333332,83.44166666666668,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.22921847695433129,0.22921847695433129,-0.00939760093084737,10.0,19837.021177247134,1.3658741135587062e-05,7.856302724464108,0.005341810787068602,0.003,0.003,0.0,25.949268341064453
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,76000,0,76000,0,4000,0,634.4112930335905,0.0,76000,0,76000,False,2,19,0bf95_00000,2023-12-14_19-32-03,1702600323,6.306790828704834,124.41611886024475,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,124.41611886024475,19,76000,0,76000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6476.038,3084.79,1.663,76000,0,76000,0,28.84444444444445,83.34444444444443,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,3.0112484057606665,3.0112484057606665,0.024108844252227785,10.0,23185.44703033382,-2.8892684338697747e-05,7.770145908347579,0.11126092376945229,0.003,0.003,0.0,38.92390441894531
-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,2,0,0,80000,0,80000,0,4000,0,658.1140530666025,0.0,80000,0,80000,False,2,20,0bf95_00000,2023-12-14_19-32-09,1702600329,6.079560279846191,130.49567914009094,35155,Ahmeds-MacBook-Pro.local,127.0.0.1,130.49567914009094,20,80000,0,80000,0,-301284.22671343246,-304076.3403449871,-302680.2835292098,35039.5,0,0,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",6464.952,3080.156,1.668,80000,0,80000,0,31.0875,82.7875,"[-301284.22671343246, -304076.3403449871]","[35039, 35040]",128.0,4000.0,0.4778783020895046,0.4778783020895046,-0.006688463158095315,9.996376571370595,15233.666746485207,-1.6926956583441957e-06,7.7997915353348,0.009880894642963168,0.003,0.003,0.0,38.92390441894531
